question_id,dificuldade,cenario,pergunta_nl,sql_esperados_max,gabarito_ref,notas_autor,perspectiva_usuario,explora_json
Q24,COMPLEXA,Agregação,"Para cada autoridade de permissão, quantos usuários a possuem, com a descrição da autoridade?",1,gabarito-bateria.md#Q24,authority user_authority COUNT,,
Q25,COMPLEXA,Junção cross-domínio,"Para cada categoria de ativo, quantos usuários têm acesso a ela, com a sua categoria-raiz?",1,gabarito-bateria.md#Q25,asset_category asset_category__users raiz-self-join,,
Q26,COMPLEXA,Junção cross-domínio,"Para cada autoridade, quantos usuários distintos têm acesso a categorias de ativo públicas?",1,gabarito-bateria.md#Q26,user_authority user asset_category__users asset_category,,
Q27,COMPLEXA,Junção cross-domínio,Quantos pedidos de vídeo há no painel para solicitações sem conta e com conta vinculada?,2,gabarito-bateria.md#Q27,publications_user project_render_item project_render owner_id,,
Q28,COMPLEXA,Junção cross-domínio,"Para solicitações com pedido de vídeo e publicação, liste o status, o vídeo gerado e se há conta vinculada.",1,gabarito-bateria.md#Q28,publications_user project_render_item project_render publications,,
Q29,COMPLEXA,Filtro temporal,"Quantas solicitações de publicação foram criadas por mês em 2026, separando com e sem conta?",1,gabarito-bateria.md#Q29,publications_user project_render_item project_render created_date,,
Q30,COMPLEXA,Junção geográfica,"Quantos pedidos de vídeo foram solicitados por clientes de cada unidade federativa, com a região?",1,gabarito-bateria.md#Q30,project_render_item person ibge__uf project_render,,
Q31,COMPLEXA,Junção geográfica,"Na perspectiva do administrador da plataforma, qual é o tempo médio, em dias, entre o primeiro pedido de vídeo registrado nos últimos doze meses e a data de criação da conta do solicitante, casando cada pedido ao cadastro correspondente pelo número de telefone informado no pedido ou no perfil do usuário, agregando o resultado por região geográfica associada ao endereço cadastrado na conta?",1,gabarito-bateria.md#Q31,project_render_item person ibge__uf data_source whatsapp cohort AVG DATEDIFF,admin,data_source
Q32,COMPLEXA,Junção geográfica,"Na visão do administrador, para os pedidos de vídeo já concluídos, compare o estado declarado no próprio pedido com o estado cadastrado no endereço da conta do solicitante, contabilizando quantos pedidos coincidem e quantos divergem entre o que foi informado na solicitação e o que consta no cadastro, agrupando os totais por região geográfica da conta.",2,gabarito-bateria.md#Q32,project_render_item person ibge__uf data_source $.uf JSON_VALID CASE,admin,data_source
Q33,COMPLEXA,Agregação,"Para o administrador avaliar a qualidade dos metadados de template dos vídeos, agrupe os pedidos de vídeo pelo nome do template e pela composição declarada nos metadados do pedido, e informe, para cada combinação, quantos pedidos possuem metadados sintaticamente válidos, quantos expõem corretamente a lista de recursos do template e quantos apresentam essa lista com grafia corrompida ou duplicada, de modo a quantificar a sujeira estrutural presente nos dados semiestruturados.",2,gabarito-bateria.md#Q33,project_render_item project_render json_data JSON_CONTAINS_PATH asssets typo,admin,json_data
Q34,COMPLEXA,Agregação,"Na perspectiva administrativa de faturamento, considerando apenas clientes pagantes com saldo atual positivo que já solicitaram ao menos um pedido de vídeo, apresente, por forma de pagamento do serviço e por status do pedido, a quantidade de pedidos e o número de empresas distintas mencionadas nos dados informados na solicitação, evidenciando o comportamento de consumo da base que efetivamente paga pela plataforma.",1,gabarito-bateria.md#Q34,project_render_item project_render person current_balance data_source $.company,admin,data_source
Q35,COMPLEXA,Junção cross-domínio,"Na perspectiva do publicador de conteúdo, para cada plataforma de destino e status de publicação, quantos pedidos de vídeo distintos foram publicados, separando as solicitações feitas sem conta vinculada das solicitações feitas com conta, e contabilizando também quantos beneficiários distintos aparecem identificados nos dados informados nos pedidos correspondentes?",1,gabarito-bateria.md#Q35,publications_user project_render_item owner_id data_source $.name,publisher,data_source
Q36,COMPLEXA,Junção cross-domínio,"Sob a ótica do publicador, liste as publicações de pedidos de vídeo cuja composição de template seja a mais frequente de toda a base de solicitações, apresentando o identificador da publicação, o status da publicação, a plataforma de origem da publicação e a data de publicação, restringindo o resultado apenas aos registros de publicação ainda ativos.",1,gabarito-bateria.md#Q36,publications_user project_render_item publications json_data subconsulta top composicao,publisher,json_data
Q37,COMPLEXA,Agregação,"Na perspectiva do afiliado, para cada emissor de cupom, informe quantos pedidos de vídeo distintos receberam algum cupom, quantos desses cupons foram efetivamente utilizados e quantas unidades federativas distintas aparecem nos dados informados nos pedidos de vídeo vinculados, ordenando do afiliado com mais pedidos com cupom para o que tem menos.",1,gabarito-bateria.md#Q37,transaction_coupon project_render_item person person_owner_id code_status USED data_source $.uf,affiliate,data_source
Q38,COMPLEXA,Junção cross-domínio,"Ainda na ótica do afiliado, detalhe os cupons ativos emitidos no último ano agrupados por status do pedido de vídeo e por origem da solicitação, apresentando o tipo de cupom, o desconto percentual médio aplicado e o valor médio de empréstimo declarado nos dados do pedido quando essa informação estiver presente no conteúdo da solicitação.",1,gabarito-bateria.md#Q38,transaction_coupon project_render_item coupon_type discount_percentual data_source $.loanValue CAST,affiliate,data_source
Q39,COMPLEXA,Junção em cadeia,"Na perspectiva do patrocinador, empresa-mãe que enxerga as contas vinculadas da sua rede, liste os pedidos de vídeo solicitados pelas contas-filho de cada patrocinador, apresentando o nome do patrocinador, o nome da conta-filho, a composição do template extraída dos metadados do pedido e a cidade informada nos dados da solicitação correspondente.",1,gabarito-bateria.md#Q39,person auto-junção company_id project_render_item json_data data_source $.city SPONSOR 3118,sponsor,ambos
Q40,COMPLEXA,Filtro temporal,"Para o painel temporal do patrocinador, calcule, por mês de criação, o volume de pedidos de vídeo concluídos solicitados pelas contas-filho de cada patrocinador durante 2025 e 2026, confirmando o vínculo de empresa pelos dados informados na solicitação, e separando os totais por patrocinador para acompanhar a evolução mensal da produção das contas vinculadas ao longo do período.",1,gabarito-bateria.md#Q40,person auto-junção company_id project_render_item render_status FINISHED YEAR MONTH data_source $.company,sponsor,data_source
