run_id,question_id,model_version,provider,gabarito_match,notas_autor
run-20260627-baseline-flash-q31,Q31,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q32,Q32,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q33,Q33,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q34,Q34,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q35,Q35,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q36,Q36,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q37,Q37,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q38,Q38,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q39,Q39,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-flash-q40,Q40,gemini-3.5-flash,google,false,auditoria gabarito jun/2026 divergiu de G_i
run-20260627-baseline-pro-q01,Q01,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q02,Q02,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q03,Q03,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q04,Q04,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q05,Q05,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q06,Q06,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q07,Q07,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q08,Q08,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q09,Q09,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q10,Q10,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q11,Q11,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q12,Q12,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q13,Q13,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q14,Q14,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q15,Q15,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q16,Q16,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q17,Q17,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q18,Q18,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q19,Q19,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q20,Q20,gemini-3.1-pro,google,true,campanha baseline SIMPLES/MÉDIA
run-20260627-baseline-pro-q21,Q21,gemini-3.1-pro,google,true,
run-20260627-baseline-pro-q22,Q22,gemini-3.1-pro,google,true,
run-20260627-baseline-pro-q23,Q23,gemini-3.1-pro,google,true,
run-20260627-baseline-pro-q24,Q24,gemini-3.1-pro,google,true,
run-20260627-baseline-pro-q25,Q25,gemini-3.1-pro,google,true,
run-20260627-baseline-pro-q26,Q26,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q27,Q27,gemini-3.1-pro,google,false,ERROR execucao SQL
run-20260627-baseline-pro-q28,Q28,gemini-3.1-pro,google,false,divergiu de G_i owner_id e joins publicacao
run-20260627-baseline-pro-q29,Q29,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q30,Q30,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q31,Q31,gemini-3.1-pro,google,false,divergiu de G_i telefone e DATEDIFF
run-20260627-baseline-pro-q32,Q32,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q33,Q33,gemini-3.1-pro,google,false,ERROR execucao SQL
run-20260627-baseline-pro-q34,Q34,gemini-3.1-pro,google,false,divergiu de G_i chaves JSON e joins pagamento
run-20260627-baseline-pro-q35,Q35,gemini-3.1-pro,google,false,divergiu de G_i owner_id e beneficiario
run-20260627-baseline-pro-q36,Q36,gemini-3.1-pro,google,false,divergiu de G_i composicao e publications
run-20260627-baseline-pro-q37,Q37,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q38,Q38,gemini-3.1-pro,google,false,divergiu de G_i loanValue e janela temporal
run-20260627-baseline-pro-q39,Q39,gemini-3.1-pro,google,true,parcial estrutural tolerancia gabarito
run-20260627-baseline-pro-q40,Q40,gemini-3.1-pro,google,false,divergiu de G_i filtro JSON espurio sponsor
